gene a,gene b,synonym a,synonym b,cell line,phenotype,additional notes,interaction
CSK,ATAD2,-,ANCCA|CT137|PRO2000,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,SCG3,-,SGIII,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,UBL7,-,BMSC-UbP|TCBA1,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CCDC6,-,D10S170|H4|PTC|TPC|TST1,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,PPP1R36,-,C14orf50,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,LIMS1,-,PINCH|PINCH-1|PINCH1,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CHIC2,-,BTL,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,PPP2R5B,-,B56B|PR61B,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,TEDDM1,-,EDDM9|Epdd1|HE9|TMEM45C,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,C1orf21,-,PIG13,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CNTRL,-,CEP1|CEP110|FAN|bA165P4.1,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,STARD9,-,-,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,STAM,-,STAM-1|STAM1,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ARMC1,-,Arcp,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,RAG2,-,RAG-2,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,AVL9,-,KIAA0241,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,RALGAPA2,-,AS250|C20orf74|bA287B20.1|dJ1049G11|dJ1049G11.4|p220,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ALDH6A1,-,MMSADHA|MMSDH,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,PLEKHG4,-,ARHGEF44|PRTPHN1|SCA4,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,RALGPS1,-,RALGEF2|RALGPS1A,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,MIA2,-,-,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,C1orf185,-,-,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,GFRA3,-,GDNFR3,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CETN2,-,CALT|CEN2,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,KIAA1143,-,-,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ATF6,-,ATF6A,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,PYROXD2,-,C10orf33|FP3420,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,UPRT,-,FUR1|UPP,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CRYGS,-,CRYG8|CTRCT20,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,TCEANC,-,-,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ARRDC1,-,-,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CYTH3,-,ARNO3|GRP1|PSCD3,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,IL6,-,BSF2|HGF|HSF|IFNB2|IL-6,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,THBS3,-,TSP3,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,BBS2,-,BBS,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CHIA,-,AMCASE|CHIT2|TSA1902,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CXCL10,-,C7|IFI10|INP10|IP-10|SCYB10|crg-2|gIP-10|mob-1,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,BAG5,-,BAG-5,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,FBXO8,-,FBS|FBX8,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,HMMR,-,CD168|IHABP|RHAMM,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,HYDIN,-,CILD5|HYDIN1|HYDIN2|PPP1R31,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,POU2F1,-,OCT1|OTF1|oct-1B,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,FBXL2,-,FBL2|FBL3,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,EPHB2,-,CAPB|DRT|EK5|EPHT3|ERK|Hek5|PCBC|Tyro5,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,IFT43,-,C14orf179|CED3,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,IFT52,-,C20orf9|CGI-53|NGD2|NGD5|dJ1028D15.1,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CD300LF,-,CD300f|CLM-1|CLM1|IREM-1|IREM1|IgSF13|LMIR3|NKIR,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ZNF639,-,6230400O18Rik|ANC-2H01|ANC_2H01|ZASC1,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,USP6NL,-,RNTRE|TRE2NL|USP6NL-IT1,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CMYA5,-,C5orf10|SPRYD2|TRIM76,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CFTR,-,ABC35|ABCC7|CF|CFTR/MRP|MRP7|TNR-CFTR|dJ760C5.1,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,TMEM233,-,DSPB2|IFITMD2,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,EGR2,-,AT591|CMT1D|CMT4E|KROX20,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,TAPT1,-,CMVFR,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,THAP2,-,-,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,STX6,-,-,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CPEB2,-,CPE-BP2|CPEB-2|hCPEB-2,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ZCCHC11,-,PAPD3|TUT4,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,DPM2,-,CDG1U,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ATXN1L,-,BOAT|BOAT1,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,KCTD3,-,NY-REN-45,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,RNF125,-,TRAC-1|TRAC1,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,PANK2,-,C20orf48|HARP|HSS|NBIA1|PKAN,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CLECL1,-,DCAL-1|DCAL1,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,SNX16,-,-,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ZMYM2,-,FIM|MYM|RAMP|SCLL|ZNF198,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,IL1RL2,-,IL-1Rrp2|IL-36R|IL1R-rp2|IL1RRP2,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,PRKAG1,-,AMPKG,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CAPN3,-,CANP3|CANPL3|LGMD2|LGMD2A|nCL-1|p94,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,SLC25A21,-,ODC|ODC1,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,GABRA2,-,-,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CCDC129,-,-,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,HORMAD2,-,CT46.2,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,METAP1D,-,MAP 1D|MAP1D|MetAP 1D|Metap1l,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,SLC26A2,-,D5S1708|DTD|DTDST|EDM4|MST153|MSTP157,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,POU1F1,-,CPHD1|GHF-1|PIT1|POU1F1a|Pit-1,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,MFN1,-,hfzo1|hfzo2,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,HSF2,-,HSF 2|HSTF 2,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,NRD1,-,hNRD1|hNRD2,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ACER3,-,APHC|PHCA,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CNTN6,-,NB3,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ICA1L,-,ALS2CR14|ALS2CR15,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ABCG2,-,ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|EST157481|GOUT1|MRX|MXR|MXR1|UAQTL1,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,FAM160B1,-,KIAA1600|bA106M7.3,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,FSD2,-,SPRYD1,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ELTD1,-,ETL|KPG_003,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,SEC22A,-,SEC22L2,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CATSPER2,-,-,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,CDH19,-,CDH7|CDH7L2,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ZDHHC4,-,ZNF374,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,PPIB,-,CYP-S1|CYPB|HEL-S-39|OI9|SCYLP,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,C7orf61,-,-,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,HRG,-,HPRG|HRGP|THPH11,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,NUDT12,-,-,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,ZNF461,-,GIOT-1|GIOT1,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,MAPKAPK5,-,MAPKAP-K5|MK-5|MK5|PRAK,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,TMEM106B,-,-,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,C5,-,C5D|C5a|C5b|CPAMD4|ECLZB,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,FAM206A,-,C9orf6|CG-8,T47D,viability|Growth abnormality,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,IGSF6,-,DORA,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
CSK,R3HDM1,-,R3HDM,T47D,Growth abnormality|viability,"CRISPR GI screen|Cell Line:T47D|Experimental Setup: Timecourse, negative selection, viability|GIST: A-phenotypic negative genetic interaction|Library: Geckov2|Significance Threshold: FDR<0.05",synthetic lethality
